NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Beji;6;Jama'ah Subur;43123276060001;1970;Jl. Sanur Blok AG, NO. 2, RT. 01;17/0/2019.B3162/Kk.10;;H. Asnawi;
;;;;;;RW. 016, Depok Mulya II;22/5/BA.01.1/06/2019;;;
;;;;;;Beji - 16421;;;;
;;;;;;;;;;
2;Beji;6;MT. Muslimat NU;43123276060002;;Depok Mulya 2, Jl. Losari;;;;
;;;Kota Depok;;;Blok A1, No. 1A, Beji - Depok;;;;
;;;;;;;;;;
3;Beji;6;MT. Al Ikhlash;43123276060003;;Jl. H. Koja II, RT. 05/03;;;;
;;;;;;Kukusan, Beji, Depok;;;;
;;;;;;;;;;
4;Beji;6;Riyadhul Jannhah;43123276060004;;Jl. Nusantara Raya, Gg. H. Umar;;;;
;;;;;;RT. 002/013, Kel. Beji;;;;
;;;;;;Kec. Beji, Depok;;;;
;;;;;;;;;;
5;Beji;6;Al Maghfiroh;43123276060005;;Jl. Peternakan RT. 05/08;;;;
;;;;;;Kel. Tanah Baru, Bejji;;;;
;;;;;;;;;;
6;Beji;6;Shafiyatul Hidayah;43123276060006;;Jl. Hasan Niung 6, RT. 06/02;;;;
;;;;;;Tanah Baru,Bejji;;;;
;;;;;;;;;;
7;Beji;6;Al Furqon;43123276060007;;Jl. Tanah Baru Raya, RT. 02/07;;;;
;;;;;;Kel. Tanah Baru, Beji;;;;
;;;;;;;;;;
8;Beji;6;Al Fallah;43123276060008;;Jl. Mandor Ety, RT. 01/03;;;;
;;;;;;Kel. Tanah Baru, Beji;;;;
;;;;;;;;;;
9;Beji;6;Al Maratussholiha;43123276060009;;Jl. H. Amat RT. 01/02;;;;
;;;;;;Kukusan, Beji;;;;
;;;;;;;;;;
10;Beji;6;Muslimat NU PAC Beji;43123276060010;;Jl. Arif Rahman Hakim;;;;
;;;;;;RT. 02/03, Kel. Beji;;;;
;;;;;;;;;;
11;Beji;6;Annizomiyah;43123276060011;;Jl. H. Amat RT. 01/03;;;;
;;;;;;Kukusan, Beji;;;;
;;;;;;;;;;
12;Beji;6;Khotmil Quran;43123276060012;;Jl. H. Koja II, RT 05/03;;;;
;;;;;;Kukusan , Beji;;;;
;;;;;;;;;;
13;Beji;6;Nurul Iman;43123276060013;;Jl. Madrasah, RT. 04/03;;;;
;;;;;;Kukusan, Beji;;;;
;;;;;;;;;;
14;Beji;6;Al Irsyad;43123276060014;;Jl. Losari Dalam RT.06/16;;;;
;;;;;;Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
15;Beji;6;Al Muawanah;MT. 622633060015;;;;;;
;;;;;;;;;;
23;Beji;6;MT. Al Istiqomah;MT. 622633060023;;Jl. Masjid Al Istiqomah;;;;
;;;;;;RT. 02/06, Kel. Pondok Cina;;;;
;;;;;;;;;;
24;Beji;6;MT. Miftahul Jannah;MT. 622633060024;;Jl. MI Ridwan Rais, Gg. Durian;;;;
;;;;;;RT. 05/14, Kel. Beji;;;;
;;;;;;;;;;
25;Beji;6;MT. Al Innayah;MT. 622633060025;;Jl. AR. Hakim, Gg. Hj Kami;;;;
;;;;;;No. 37, RT. 05/13 0025;;;;
;;;;;;Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
26;Beji;6;MT. Al Ikhlas;MT. 622633060026;;Jl. H. Iming, RT. 005/016;;;;
;;;;;;No. 72, Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
27;Beji;6;MT. Jama'ah Subur;MT. 622633060027;;Jl. H. Iming, RT. 04/02;;;;
;;;;;;Beji, Depok;;;;
;;;;;;;;;;
28;Beji;6;MT. Al Hafi;MT. 622633060028;;Jl. K. H. M. Usman, No. 26A;;;;
;;;;;;RT.05/02, Kel. Kukusan, Beji;;;;
;;;;;;;;;;
29;Beji;6;MT. As Solihin;MT. 622633060029;;Jl. Kemiri Jaya 1, RT. 09/01;;;;
;;;;;;Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
30;Beji;6;MT. Al Barkah;MT. 622633060030;;Jl. H. Kedung II, RT. 01/17;;;;
;;;;;;Kel. Beji, Kec. Beji, Depok;;;;
;;;;;;;;;;
31;Beji;6;MT. Al Irsyad;MT. 622633060031;;Jl. Losari Dalam, RT. 006/016;;;;
;;;;;;Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
32;Beji;6;MT. Al Hidayah;MT. 622633060032;;Jl. Bambon Raya, RT. 02/17;;;;
;;;;;;Kel. Beji, Kec. Beji;;;;
;;;;;;;;;;
33;Beji;6;MT. Syabaabul Mujahidin;MT. 622633060033;;Jl. H. Fatimah, RT. 03/11;;;;
;;;;;;Kel. Kemiri Muka, Kec. Beji;;;;
;;;;;;;;;;
34;Beji;6;MT. Nurul Faiqoh (Nurfa);MT. 622633060034;;Jl. Bungur II, No. 40, RT. 05/08;;;;
;;;;;;Kel. Kukusan, Kec. Beji, Depok;;;;
;;;;;;;;;;
35;Beji;6;MT. Al-Muaawanah;MT. 622633060035;;Jl. Stasiun Pondok Cina, No. 12;;;;
;;;;;;RT. 01 RW. 08, Kel. Pondok Cina;;;;
;;;;;;Kec. Beji, Depok;;;;
;;;;;;;;;;
