NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Cilodong;8;Nurul Yaqin;431233276080005;Juni 1983;Jl. Mandor Samin, RT. 04/06;07/04/2015, Kd.10.22/V/;;H. Supiyanto;
;;;;;;Kel. Kalibaru;PP.00.9/1968/2015;;;
;;;;;;;;;;
2;Cilodong;8;As Syifa;;;Kalimulya, Cilodong;12/12/2017, B8668/Kk.1022/;;;318
;;;;;;;5/BA.01.1/12/2017;;;
;;;;;;;;;;
3;Cilodong;8;Fadhilayussyifa;431233276080004;;Jl. H. Aim Emat, RT. 02/06;26/07/2019, B4122/Kk.1022/;;H. Asnawi;
;;;;;;Kel. Kalibaru, Cilodong;5/BA.01.1/07/2019;;;
;;;;;;;;;;
4;Cilodong;8;Al Ikhlas;431233276080003;;Jl. H. Abdul Gani, RT. 03/02;23/07/19, B.4027/Kk.1022/;;H. Asnawi;
;;;;;;Kel. Kalibaru, Cilodong;5/BA.01.1/07/2019;;;
;;;;;;;;;;
5;Cilodong;8;As Syifa;431233276080006;;Kalimulya, RT. 04/04, Kec.;;;;
;;;;;;Cilodong, Kel. Kalimulya ;;;;
;;;;;;;;;;
6;Cilodong;8;Nurul Musthofa 3;431233276080001;;Kp. Sidamukti, No. 51, RT. 03/01;;;;
;;;;;;Kel. Sukamaju;;;;
;;;;;;;;;;
7;Cilodong;8;Al Munjiat;431233276080007;;Kp. Kebon Duren, RT. 04/03;;;;
;;;;;;No. 72,Kel. Kalimulya;;;;
;;;;;;;;;;
8;Cilodong;8;An Nasiriyah;431233276080008;;Jl. M. Nasir Bendungan, RT. 01/06;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
9;Cilodong;8;Nurus Sa'adah;431233276080009;;Kel. Sukamaju, RT. 04, RW. 22;;;;
;;;;;;;;;;
10;Cilodong;8;As Salam;431233276080010;;Jl. H. Abdul Gani, RT. 02/02;;;;
;;;;;;Kel. Kalibaru;;;;
;;;;;;;;;;
11;Cilodong;8;Agnia Solihah;431233276080011;;Jl. Kambangan, NO. 3, RT. 04/02;;;;
;;;;;;Kel. Kalimulya;;;;
;;;;;;;;;;
12;Cilodong;8;Sabilul Khoir;431233276080012;;Villa Pertiwi, Jl. Belimbing V;;;;
;;;;;;Blok N5/16, RT. 03/16;;;;
;;;;;;Kel. Sukamaju;;;;
;;;;;;;;;;
13;Cilodong;8;Nurul Hidayah;431233276080013;;Jl. Kemang Raya, RT. 06/05;;;;
;;;;;;Kel. Kalibaru;;;;
;;;;;;;;;;
14;Cilodong;8;FKMT Kel. Jatimulya;431233276080014;;Jl. Kalimulya, RT. 04/04;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;;;;;
15;Cilodong;8;FKMT Kec. Cilodong;431233276080015;;Jl. Kalimulya, Rt. 02/03;;;;
;;;;;;Kel. Jatimulya, Kec. Cilodong;;;;
;;;;;;;;;;
16;Cilodong;8;Bachrurrusul;431233276080016;;Jl. Pamoras Bojong Lio,;;;;
;;;Kel. Sukamaju;;;RT. 04/08, Kel. Sukamaju,;;;;
;;;;;;Kec. Cilodong, Depok;;;;
;;;;;;;;;;
17;Cilodong;8;MT. Daarul Mu'minin;MT. 622633080017;;Kp. Sidamukti, Jl. Sumurwangi;;;;
;;;;;;Gg. KUD, RT. 02/17;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
18;Cilodong;8;MT. Assholihat;MT. 622633080018;;Kp. Sidamukti, RT. 02/03;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
19;Cilodong;8;Thoriqul Hidayah;MT. 622633080019;;Jl. Sumurwangi, RT. 03/17;;;;
;;;;;;Sidamukti,Kel. Sukamaju;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
20;Cilodong;8;Nurul Amal;MT. 622633080020;;Jl. Revolusi, RT. 03/03;;;;
;;;;;;Kel. Cilodong, Kec. Cilodong;;;;
;;;;;;;;;;
21;Cilodong;8;Nurul Hidayah;MT. 622633080021;;Kp. Sidamukti,RT.04/17;;;;
;;;;;;Kel, Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
22;Cilodong;8;At Taqwa;MT. 622633080022;;Jl. At Taqwa, RT. 01/04;;;;
;;;;;;Kel. Sukamaju, Kec. Cilodong;;;;
;;;;;;;;;;
