NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Cimanggis;2;Al - Ikhlas ;431.23.32.7604.0008;;Kel. Harjamukti;28/12/2017;;;345
;;;;;;;B.9083/Kk.10.22/5/;;;
;;;;;;;BA.01.1/12/2017;;;
;;;;;;;;;;
2;Cimanggis;2;Nurul Iman;431.23.32.7604.0007;;Kel. Harjamukti;28/12/2017;;;346
;;;;;;;B.9084/Kk.10.22/5/;;;
;;;;;;;BA.01.1/12/2017;;;
;;;;;;;;;;
3;Cimanggis;2;Formal;MT. 622633020009;;Kel. Harjamukti;28/12/2017;;;347
;;;;;;;B.9085/Kk.10.22/5/;;;
;;;;;;;BA.01.1/12/2017;;;
;;;;;;;;;;
4;Cimanggis;2;MT. Kelompok PKK RW 03;MT. 622633020010;;Jl. Masjid Al Ikhlas ;;;;
;;;;;;RT. 005/003, Kel. Cisolok Pasar;;;;
;;;;;;Kec. Cimanggis;;;;
;;;;;;;;;;
5;Cimanggis;2;MT. Al - Khairiyah;MT. 622633020011;;Jl. Alamanda RT. 08/07;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
6;Cimanggis;2;MT. Al Istiqomah Tugu;MT. 622633020012;;Jl. Alamanda No. 17;;;;
;;;;;;RT. 008/007;;;;
;;;;;;;;;;
7;Cimanggis;2;MT. As Sa'adah;MT. 622633020013;;Jl. H. Ichang RT.01/02;;;;
;;;;;;Kp. Palsigunung;;;;
;;;;;;;;;;
8;Cimanggis;2;MT. Nurussa'adah;MT. 622633020014;;Jl. Nurul Hikmah III, No. 52;;;;
;;;;;;Kelapa Dua, RT. 006/011;;;;
;;;;;;Kel. Tugu;;;;
;;;;;;;;;;
9;Cimanggis;2;MT. Ar Royyan;MT. 622633020015;;Jl. Swadaya I, No. 58, RT. 04/10;;;;
;;;;;;Kelapa Dua, Tugu, Cimanggis;;;;
;;;;;;;;;;
10;Cimanggis;2;MT. As Syifa;MT. 622633020016;;Palsigunung RT. 01/01, No. 36;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
11;Cimanggis;2;MT. An Nuriah;MT. 622633020017;;Kelapa Dua RT. 02/09;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
12;Cimanggis;2;MT. Al Istiqomah;MT. 622633020018;;Areman Residen, Jl. H. Abdul;;;;
;;;;;;Mutholib,No. 15, RT. 04/08;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
13;Cimanggis;2;MT. As Syairiah;MT. 622633020019;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;Jl. H. Icang, RT. 08/01;;;;
;;;;;;Kp. Palsigunung, Kel. Tugu;;;;
;;;;;;;;;;
14;Cimanggis;2;MT. Al Muna;MT. 622633020020;;Jl. Masjid Uswatun Hasanah;;;;
;;;;;;RT. 04/06, Kel. Curug;;;;
;;;;;;Kec. Cimanggis;;;;
;;;;;;;;;;
15;Cimanggis;2;MT. Al Amanah;MT. 622633020021;;Jl. Sadar Kelapa Dua, RT.08/10;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
16;Cimanggis;2;MT. Al Husna;MT. 622633020022;;Jl. Taman Duta 7, Blok E7, No. 3;;;;
;;;;;;Perumahan Pondok Duta;;;;
;;;;;;Kec. Cimanggis, Depok;;;;
;;;;;;;;;;
17;Cimanggis;2;MT. Kaum Ibu ;MT. 622633020023;;Kp. Pondok Ranggon, RT. 003/006;;;;
;;;Musholla Birul Walidain;;;Kel. Harjamukti, Kec. Cimanggis;;;;
;;;;;;;;;;
18;Cimanggis;2;MT. Assayyidatul Amanah;MT. 622633020024;;Jl. Yudistira, No. 16, RT. 03/03;;;;
;;;;;;Kel. Harjamukti, Cimanggis;;;;
;;;;;;;;;;
19;Cimanggis;2;Majelis Ta'lim Formal;MT. 622633020025;;;;;;
;;;;;;;;;;
20;Cimanggis;2;Al - Ikhlas;MT. 622633020026;;Jl. Kauling,Kp. Pondok Ranggon;;;;
;;;;;;Harjamkuti,RT. 002/006;;;;
;;;;;;Cimanggis;;;;
;;;;;;;;;;
21;Cimanggis;2;Al - Innayah;MT. 622633020027;;Kp. Pondok Ranggon, RT. 04/06;;;;
;;;;;;Harjamukti;;;;
;;;;;;;;;;
22;Cimanggis;2;At - Toyyibah;MT. 622633020028;;Kp. Pondok Ranggon, RT. 06/06;;;;
;;;;;;Harjamukti;;;;
;;;;;;;;;;
23;Cimanggis;2;Al - Muhsinin;MT. 622633020029;;Jl. Pringgodani Raya, RT/005/009;;;;
;;;;;;Kp. Kalimanggis, Kel. Harjamukti;;;;
;;;;;;;;;;
24;Cimanggis;2;Al - Ashar;MT. 622633020030;;Padurenan Depok, RT. 01/02;;;;
;;;;;;Kel. Cisalak Pasa, Cimanggis;;;;
;;;;;;;;;;
25;Cimanggis;2;Al - Mumin;MT. 622633020031;;Jl. Bungur Raya, RT. 03/07;;;;
;;;;;;Kel. Harjamukti, Kec. Cimanggis;;;;
;;;;;;;;;;
26;Cimanggis;2;Al - Ikhlas;MT. 622633020032;;Komp. DEPPEN - HBTB RT. 08/11;;;;
;;;;;;Kel. Harjamukti, Kec. Cimanggis;;;;
;;;;;;;;;;
27;Cimanggis;2;MT. Nur'aini;MT. 622633020033;;Kelapa Dua, RT. 04/09;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
28;Cimanggis;2;MT. Arrahman;MT. 622633020034;;Kelapa Dua, RT. 05/09;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
29;Cimanggis;2;MT. Al Hamidiyah;MT. 622633020035;;Tipar RT. 001/010;;;;
;;;;;;Kel. Mekar Jaya, Kec. Cimanggis;;;;
;;;;;;;;;;
