NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Cinere;9;MT. Darussa'id;MT. 622633090001;;Jl. Masjid 1, RT. 02/02, No. 16;;;;
;;;;;;Cinere;;;;
;;;;;;;;;;
3;Cinere;9;MT. Majelis Qur'an ;MT. 622633090003;;Jl. Markisa Raya, Blok A;;;;
;;;Husnul Khotimah;;;No. 19, RT. 01/07;;;;
;;;;;;;;;;
4;Cinere;9;MT. Kaum Ibu Al Jihad;MT. 622633090004;;Jl. Lengkoas Blok. L, RT. 04/07;;;;
;;;;;;;;;;
5;Cinere;9;MT. Yayasan Hidayah;MT. 622633090005;;Jl. H. Terin III, No. 18, RT. 04/03;;;;
;;;Bangun Indonesia;;;Pangkalan Jati Baru, Kec. Cinere;;;;
;;;;;;;;;;
6;Cinere;9;MT. Nurussa'adah;MT. 622633090006;;;;;;
;;;;;;;;;;
7;Cinere;9;MT. dan Dzikir Al Anshoriyah;MT. 622633090007;;Jl. Ahmad Famili, No. 21, RT. 02;;;;
;;;;;;RW. 06, Kel. Gandul, Kec. Cinere;;;;
;;;;;;;;;;
8;Cinere;9;MT dan Dzikir Manaqib;MT. 622633090008;;Jl. Madrasah No. 89, RT. 10/02;;;;
;;;Jawahirul Ma'ani Syech;;;Kel. Gandul, Kec. Cinere;;;;
;;;Abdul Qodir Al Jaelani;;;;;;;
;;;;;;;;;;
9;Cinere;9;MT. Daarul Mughni;MT. 622633090009;;Jl. Madrasah V, No. 82, RT. 02;;;;
;;;;;;RW. 04, Kel. Pangkalan Jati;;;;
;;;;;;Kec. Cinere;;;;
;;;;;;;;;;
10;Cinere;9;MT. Attawwabin;MT. 622633090010;;Jl. H. Bara, Gg. Masjid No. 14B;;;;
;;;;;;RT. 03/05, Kel. Pangkalan Jati;;;;
;;;;;;Baru, Kec. Cinere;;;;
;;;;;;;;;;
11;Cinere;9;MT. Al Kholidiyah;MT. 622633090011;;Jl. Rawa Kopi I, No. 56A, RT. 02;;;;
;;;;;;RW. 04, Kel. Pangkalan Jati;;;;
;;;;;;Baru, Kec. Cinere;;;;
;;;;;;;;;;
12;Cinere;9;MT. Ulumul Qur'an;MT. 622633090012;;Jl. H. Mendik, RT. 20/01;;;;
;;;;;;No. 6, Kel. Gandul, Kec. Cinere;;;;
;;;;;;;;;;
