NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Cipayung;7;MT. Nurul Mubtadi-ien;MT. 622633070001;;Jl. Gg. Al Barkah, No. 59, RT. 07;;;;
;;;;;;RW. 08, Pondok Terong, Kel.;;;;
;;;;;;Bojong, Kec. Cipayung;;;;
;;;;;;;;;;
2;Cipayung;7;MT. Nurul Qolbi;MT. 622633070002;;"Kp. Lio, RT. 02/08, Ke;. Bojong";;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
3;Cipayung;7;MT. Al Fakir;MT. 622633070003;;Jl. Bojong, Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
4;Cipayung;7;MT. Nurul Huda;MT. 622633070004;;Jl. Bojong Barat, Kel. Bojong;;;;
;;;;;;Pondok Terong;;;;
;;;;;;;;;;
5;Cipayung;7;MT. Al Masthuriyah;MT. 622633070005;;Bojong, Pondok Terong;;;;
;;;;;;RT. 004/013, Kec. Cipayung;;;;
;;;;;;;;;;
6;Cipayung;7;MT. Siti Nurbaya;MT. 622633070006;;Kp. Palabali, No. 1, RT. 011/06;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
7;Cipayung;7;MT. Al Azizah;MT. 622633070007;;Jl. Inpres, RT. 03/02, Rawageni;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
8;Cipayung;7;MT. At Taubah;MT. 622633070008;;Jl. Inpres, RT. 03/02, Rawageni;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
9;Cipayung;7;MT. Miftahul Khoir;MT. 622633070009;;Jl. H. Anin Badud, No. 1A;;;;
;;;;;;Rawageni, Kec. Cipayung;;;;
;;;;;;;;;;
10;Cipayung;7;MT. Lailatul Jumah;MT. 622633070010;;Jl. Sawah Indah, RT. 08/08;;;;
;;;;;;Kel. Bojong, Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
11;Cipayung;7;MT. Hayatul Islamiyah;MT. 622633070011;;Kp. Lio Hek, RT. 01/08;;;;
;;;;;;Kel. Bojong, Pondok Terong;;;;
;;;;;;;;;;
12;Cipayung;7;MT. Nurul Yaqien;MT. 622633070012;;Jl. H. Ta'min, No. 33, RT. 02/02;;;;
;;;;;;Kel. Cipayung;;;;
;;;;;;;;;;
13;Cipayung;7;MT. Abu Bakar As-Shodiq;MT. 622633070013;;Jl. Palabali, No. 9, RT.08/06;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;;;;;
14;Cipayung;7;MT. Dar Ash Shofy;MT. 622633070014;;Jl. H. Dul, RT. 005/005;;;;
;;;Atholibiyyah;;;Bojong, Pondok Terong;;;;
;;;;;;;;;;
15;Cipayung;7;MT. Annuriyah;MT. 622633070015;;Jl. Mulya Raya, RT. 004/011;;;;
;;;;;;Taman Induk, Kel. Cipayung;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
16;Cipayung;7;MT. Al Mawaddah;MT. 622633070016;;Jl. Padat Karya, RT. 03/06;;;;
;;;;;;No. 88, Kel. Pondok Jaya;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
17;Cipayung;7;MT. Daarul Mumtaz;MT. 622633070017;;Kp. Lio, RT. 03/07, Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
18;Cipayung;7;MT. Asy Syifaa ;MT. 622633070018;;Jl. Masjid Al Ittihad,Blok C;;;;
;;;;;;No. 05, RT. 06/04, Kel. Bojong;;;;
;;;;;;Pondok Terong, Cipayung;;;;
;;;;;;;;;;
19;Cipayung;7;MT. Nurul Hasanah;MT. 622633070019;;Blok Rambutan, RT. 06/04;;;;
;;;;;;Kel. Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
20;Cipayung;7;MT. Riyadhus Sholihin;MT. 622633070020;;Kp. Bojong Pondok Terong;;;;
;;;;;;RT. 01/04, Kel. Bojong;;;;
;;;;;;Pondok Terong, Cipayung;;;;
;;;;;;;;;;
21;Cipayung;7;MT. Arisda;MT. 622633070021;;Musholla Khoir Jami Darussalam;;;;
;;;;;;Blok Rambutan, RT. 03/04;;;;
;;;;;;Kel, Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
22;Cipayung;7;Majelis Ta'lim Al Innayah;MT. 622633070022;;Jl. Pondok Pesantren Qotrun;;;;
;;;;;;Nada, RT. 02/03, Kel. Cipayung;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
23;Cipayung;7;MT. Nurul Barkah;MT. 622633070023;;Jl Bulak Timur, RT.03/09;;;;
;;;;;;Kel. Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
24;Cipayung;7;Majelis Ta'lim Al Irsat;MT. 622633070024;;Jl. Taman Induk, RT. 003/011;;;;
;;;;;;Kel. Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
25;Cipayung;7;Majelis Ta'lim Mazira Al ;MT. 622633070025;;Jl. Blok Timbul, H. M Yasin;;;;
;;;Athas;;;RT. 002/009, Kel. Bojong;;;;
;;;;;;Pondok Terong, Cipayung;;;;
;;;;;;;;;;
26;Cipayung;7;MT. Wal Mudzakaroh;MT. 622633070026;;Jl. Pemuda, Kp. Pulo;;;;
;;;Daarul Mukhtar;;;RT. 05/08, No. 30;;;;
;;;;;;Kel. Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
27;Cipayung;7;MT. Ar Rahmah;MT. 622633070027;;Kp. Rawageni, RT. 02/07;;;;
;;;;;;Kel. Ratujaya, Kec. Cipayung;;;;
;;;;;;;;;;
28;Cipayung;7;MT. Darussaadah;MT. 622633070028;;Kp. Lio, RT. 06/09, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
29;Cipayung;7;MT. Sohibul Masyhad;MT. 622633070029;;Kp. Lio, RT. 02/08, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
30;Cipayung;7;MT. Sirojun Muniro;MT. 622633070030;;Jl. Masjid At Taqwa, RT. 03/01;;;;
;;;;;;Kel. Cipayung Jaya, Kecamatan;;;;
;;;;;;Cipayung, Depok;;;;
;;;;;;;;;;
31;Cipayung;7;MT. Sabilun Najah;MT. 622633070031;;Jl. Pasar Rabu, RT.  005/010;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;;;;;
32;Cipayung;7;MT. Arrosyiidiyah;MT. 622633070032;;Kp. Pasar Rebo, RT. 002/010;;;;
;;;;;;Kel. Bojong, Pondok Terong;;;;
;;;;;;;;;;
33;Cipayung;7;MT. Al Asiyah;MT. 622633070033;;Jl. Inpres I No. 9, RT. 07/02;;;;
;;;;;;Kel. Ratu Jaya, Cipayung;;;;
;;;;;;;;;;
34;Cipayung;7;MT. Nurul Hasanah;MT. 622633070034;;Jl. Musholla Al Hikmah;;;;
;;;;;;Rawageni, RT. 005/002;;;;
;;;;;;Kel. Ratu Jaya, Cipayung;;;;
;;;;;;;;;;
35;Cipayung;7;MT. Badril Budur;MT. 622633070035;;Jl. Raya Cipayung, Gg. Musholla;;;;
;;;;;;RT. 03/09, Kel. Bojong;;;;
;;;;;;Pondok Terong;;;;
;;;;;;;;;;
36;Cipayung;7;MT. Al Barokah;MT. 622633070036;;Jl. Masjid Al Ittihad Gg. Ikrar 1;;;;
;;;;;;RT. 001/003, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
37;Cipayung;7;MT. Nurhasanah;MT. 622633070037;;Ratu Jaya, RT. 03/06, Kel. Ratu;;;;
;;;;;;Jaya, Kec. Cipayung;;;;
;;;;;;;;;;
38;Cipayung;7;MT. Nur Illahi;MT. 622633070038;;Jl. Masjid Assalafiyah, RT. 01/04;;;;
;;;;;;Kel. Cipayung, Kec. Cipayung;;;;
;;;;;;;;;;
39;Cipayung;7;MT. Zaadul Ma'ad;MT. 622633070039;;Jl. Pertanian RT. 01/07, Kel.;;;;
;;;;;;Cipayung Jaya, Kec. Cipayung;;;;
;;;;;;;;;;
40;Cipayung;7;MT. Al Ikhlas;MT. 622633070040;;Bojong, Pondok Terong, RT. 05;;;;
;;;;;;RW. 03, Kel, Bojong Pondok;;;;
;;;;;;Terong;;;;
;;;;;;;;;;
41;Cipayung;7;MT. Manbaul Hidayah;MT. 622633070041;;Jl. Kp. Rawa Sari RT. 02/06;;;;
;;;;;;Kel. Cipayung Jaya;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
42;Cipayung;7;MT. Hidayatul Muta'alimin;MT. 622633070042 ;;Kp. Utan Jaya, Gg. Romlih;;;;
;;;;;;RT. 09/03, Kel. Pondok Jaya;;;;
;;;;;;;;;;
43;Cipayung;7;MT. Syafaaturosul SAW;MT. 622633070043;;Jl. Kelurahan Cipayung, No. 54;;;;
;;;;;;Blok Rambutan, RT.. 05/04;;;;
;;;;;;Kel. Cipayung;;;;
;;;;;;;;;;
44;Cipayung;7;MT. Uswatun Hasanah;MT. 622633070044;;Kp. Lio RT. 03/08, Kel. Bojong;;;;
;;;;;;Pondok Terong, Kec. Cipayung;;;;
;;;;;;;;;;
45;Cipayung;7;MT. Lailatul Jumah;MT. 622633070045;;Gg. Menteng, RT.04/04;;;;
;;;;;;Kel. Cipayung Jaya;;;;
;;;;;;;;;;
46;Cipayung;7;MT. Riyadhussalafiyah;MT. 622633070046;;Kp. Lio Kek, RT. 06/09, Kel.;;;;
;;;;;;Bojong Pondok Terong;;;;
;;;;;;;;;;
47;Cipayung;7;MT. Tarbiyatul Ummahat;MT. 622633070047;;Jl. Sumur Bandang, RT. 02/11;;;;
;;;;;;Kel. Cipayung,Kec. Cipayung;;;;
;;;;;;;;;;
48;Cipayung;7;Ahlul Kisa;MT. 622633070048;;Jl. Rawasari I, RT. 002/005;;;;
;;;;;;Kel. Cipayung Jaya, Kec.;;;;
;;;;;;Cipayung, Depok;;;;
;;;;;;;;;;
49;Cipayung;7;Arrahmah;MT. 622633070049;;Bojong, RT. 004/005;;;;
;;;;;;Kel. Bojong Pondok Terong;;;;
;;;;;;Kec. Cipayung;;;;
;;;;;;;;;;
