NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Limo;4;Majelis Ngaji Lekar;MT. 622633040001;;Jl. Masjid Al Mujahidin RT. 02/05;;;;
;;;Al -  Atthos;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;;;;;
2;Limo;4;MT. Ngaji Roso;MT. 622633040002;;Jl. Rotan RT. 005/001, Kel. Limo;;;;
;;;;;;Kec. Limo, Kota Depok;;;;
;;;;;;;;;;
3;Limo;4;;MT. 622633040003;;;;;;
;;;;;;;;;;
4;Limo;4;MT. Nurul Iman;MT. 622633040004;;Jl. KH. Muhasan II, RT. 01/02;;;;
;;;Meruyung;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
5;Limo;4;MT. Hidayatus Sholihin;MT. 622633040005;;Jl. Limo Tengah, RT. 004/003;;;;
;;;;;;No. 38, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
6;Limo;4;MT. An Nur;MT. 622633040006;;Jl. Nuri, RT. 003, RW. 010;;;;
;;;;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;;;;;
7;Limo;4;MT. An Nisa;MT. 622633040007;;Jl. H. Musa, No. 55, RT. 02/11;;;;
;;;;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;;;;;
8;Limo;4;MT. Nahdlatul Ummah;MT. 622633040008;;Kp. Grogol Sebrang. RT. 01/06;;;;
;;;;;;Kel. Grogol, Kec. Limo;;;;
;;;;;;;;;;
9;Limo;4;MT. Al Muhajirin;MT. 622633040009;;Jl. Binawarga, No. 29, RT. 02/01;;;;
;;;;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;;;;;
10;Limo;4;MT. Al Ikhsan;MT. 622633040010;;Blok Teng 14, RT. 003/010;;;;
;;;;;;Kel. Meruyung, Kec. Limo;;;;
;;;;;;;;;;
11;Limo;4;MT. Al Khasyimi;MT. 622633040011;;Jl. Pinang II, No. 199, RT. 02/15;;;;
;;;;;;Kel. Limo. Kec. Limo;;;;
;;;;;;;;;;
12;Limo;4;MT. Adz Dzikro;MT. 622633040012;;Jl. Pinang II, RT. 01/01;;;;
;;;;;;Kp. Lebong, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
13;Limo;4;MT. Al Barkah;MT. 622633040013;;Jl. Pinang II, Kp. Lebong, No. 113;;;;
;;;;;;RT. 03/15, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
14;Limo;4;MT. Al Mu'min;MT. 622633040014;;Jl. Pinang II, RT. 01/15;;;;
;;;;;;Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
15;Limo;4;MT. Sura Manra'a;MT. 622633040015;;Jl. Pinang II, No. 197, RT. 02;;;;
;;;;;;RW. 015, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
16;Limo;4;MT. Al Mahmudiyah;MT. 622633040016;;Jl. Kp. Baru RT. 003/012;;;;
;;;;;;Kel. Grogol, Kec. Limo;;;;
;;;;;;;;;;
17;Limo;4;MT. Abdullah Aslam;MT. 622633040017;;Jl. Kp. BaruVI, RT. 003/012;;;;
;;;;;;Kel. Grogol, Kec. Limo;;;;
;;;;;;;;;;
18;Limo;4;MT. Al Hidayah ;MT. 622633040018;;Jl. Pinang II, Kp. Lebong ;;;;
;;;;;;RT. 02/15, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
19;Limo;4;MT. Al Mutaqien;MT. 622633040019;;Jl. Naman Iskandar, No. 01;;;;
;;;;;;RT. 002/004, Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
20;Limo;4;MT. Al Hidayah Limo;MT. 622633040020;;Jl. Istiqomah, RT. 008/002;;;;
;;;;;;Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
21;Limo;4;Forum Komunikasi;MT. 622633040021;;Jl. Istiqomah, RT. 008/002;;;;
;;;Kaum Ibu RW. 02;;;Kel. Limo, Kec. Limo;;;;
;;;(FKKI RW. 02);;;;;;;
;;;;;;;;;;
22;Limo;4;MT. Kaum Ibu ;MT. 622633040022;;Jl. H. M. Noor, RT. 005/002;;;;
;;;Nurul Falah;;;Kel. Krukut, Kec. Limo, Depok;;;;
;;;;;;;;;;
23;Limo;4;MT. Lekaran;MT. 622633040023;;Jl. Kampung Baru III, RT. 01/12;;;;
;;;;;;No. 3, Kel. Grogol, Kec. Limo;;;;
;;;;;;;;;;
24;Limo;4;MT. Bunaya Nayong;MT. 622633040024;;Jl. Sawo, Kp. Uton, No. 21;;;;
;;;;;;RT. 03/07, Kel. Krukut, Limo;;;;
;;;;;;;;;;
25;Limo;4;MT. Al Ikhlas;MT. 622633040025;;Gg. H. Midi, RT. 01/02;;;;
;;;;;;"Ke;. Limo, Kec. Limo, Depok";;;;
;;;;;;;;;;
26;Limo;4;MTR. Daarul Mubtadi'ien;MT. 622633040026;;Jl. Pelita No. 71 G, RT. 03/03;;;;
;;;;;;Kel. Limo, Kec. Limo;;;;
;;;;;;;;;;
