NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
8;Sukmajaya;5;Pusat Majelis Ta'lim;43123276050008;2010;Gema Pesona Estate;;;;
;;;Kota Depok (PMTKD);;;Blok O, No. 6, Jl. Tole Iskandar;;;;
;;;;;;45, Kel. Sukmajaya, Kel. Sukmajaya;;;;
;;;;;;;;;;
9;Sukmajaya;5;Fiqhul Qura;43123276050009;2000;Jl. Kampung Cipayung RT. 04/21;;;;
;;;(Perpanjang 2025);;;No. 42, Kel. Abadi jaya, Sukmajaya;;;;
;;;;;;;;;;
10;Sukmajaya;5;Mazira Syafa'atur Rosul;MT. 622633050010;2008;Jl. H. Japat, RT. 06/ 01, Kel. Abadi;;;;
;;;SAW;;;Jaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
11;Sukmajaya;5;MT. Kaum Ibu;MT. 622633050011;;Jl. Amil Ali, RT.08/01;;;;
;;;Nur Hasanah;;;Kel. Abadi Jjaya, Sukmajaya;;;;
;;;;;;;;;;
12;Sukmajaya;5;Al Hikmah;MT. 622633050012;;Jl. Kemakmuran Raya, No. 15;;;;
;;;;;;RT. 07/01, Kel. Mekarjaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
13;Sukmajaya;5;Al Furqon;MT. 622633050013;;Kl. Gandarai III, RT. 04/05;;;;
;;;;;;Kel. Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
14;Sukmajaya;5;MT Dzikir Siulaturohim;MT. 622633050014;;Jl. Warujaya I, No. 79, RT. 07/022;;;;
;;;An Nur;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
15;Sukmajaya;5;MT. Al Alawiyah;MT. 622633050015;;Jl. M. Yusuf Raya, RT. 003/022;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
16;Sukmajaya;5;Majelis Ta'lim Burdah;MT. 622633050016;;Jl. M. Yusuf Raya, No. 41, RT. 08/22;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
17;Sukmajaya;5;MT. Raudhotunnisa;MT. 622633050017;;Jl. M. Yusuf 2, RT. 03/22;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
18;Sukmajaya;5;MT. Baitti Rahmah;MT. 622633050018;;Jl. Warujaya I, No. 60, RT. 06/22;;;;
;;;;;;Kp. Sugutamu, Kel, Mekarjaya;;;;
;;;;;;;;;;
19;Sukmajaya;5;MT. Asy Syuhada;MT. 622633050019;;Jl. Proklamasi, RT. 003/002;;;;
;;;;;;Kel. Abadi Jaya;;;;
;;;;;;;;;;
20;Sukmajaya;5;MT. Fatimah Azzahra;MT. 622633050020;;Jl. Citrayuda VI, No. 223, RT. 01/09;;;;
;;;;;;Kel. Makarjaya;;;;
;;;;;;;;;;
21;Sukmajaya;5;MT. Al Muta'awin;MT. 622633050021;;Kp. Cikumpa, RT. 05/01, No. 33b;;;;
;;;;;;Kel. Mekarjaya;;;;
;;;;;;;;;;
22;Sukmajaya;5;MT. Nurul Yaqien;MT. 622633050022;;Jl. H. Ta'min, No. 33, Rt.02/02;;;;
;;;;;;Kel. Cipayung;;;;
;;;;;;;;;;
23;Sukmajaya;5;MT. At Taufiq;MT. 622633050023;;Jl. H. Tarin, RT. 02/09;;;;
;;;;;;Kel. Sukmajaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
24;Sukmajaya;5;MT. Darurrahmah;MT. 622633050024;;Jl. Masjid Al Ishlah, No. 49;;;;
;;;;;;RT. 003/005, Kel. Cisalak;;;;
;;;;;;Sukmajaya;;;;
;;;;;;;;;;
25;Sukmajaya;5;MT. Sa'adatul Mujammil;MT. 622633050025;;Jl. Masjid Al Ishlah, RT. 04/06;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
26;Sukmajaya;5;MT. Nurul Iman;MT. 622633050026;;Gg. Masjid Cisalak. RT. 002/006;;;;
;;;;;;No. 87, Kel. Cisalak, Sukmajaya;;;;
;;;;;;;;;;
37;Sukmajaya;5;MT. Al Attas;MT. 622633050037;;Jl. Letnan Hatta Sukirman, No. 7;;;;
;;;;;;RT. 01/02, Kec. Sukmajaya;;;;
;;;;;;;;;;
38;Sukmajaya;5;MT.Shofatunnisa;MT. 622633050038;;Lk. Copayung, RT. 005/029, N0. 2;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
39;Sukmajaya;5;MT. Al Khoiriyyah;MT. 622633050039;;Jl. Masjid Al Ishlah, No. 11, RT. 02/05;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
40;Sukmajaya;5;MT. Aqo'idul Iman;MT. 622633050040;;Jl. Raya Bogor, KM. 31,5, Gg. Masjid;;;;
;;;;;;RT. 003/006,Kel. Cisalak;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
41;Sukmajaya;5;MT. Ar Rasyid;MT. 622633050041;;Gg. Masjid, Kel. Cisalak;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
42;Sukmajaya;5;MT. Al Istiqomah;MT. 622633050042;;Gg. Masjid Al Ishlah, RT. 05/07;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
43;Sukmajaya;5;MT. As Salam;MT. 622633050043;;Gg. Masjid Rt. 02/06, Kel. Cisalak;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
44;Sukmajaya;5;MT. Al Khoir;MT. 622633050044;;Gg. Masjid Al Ishlah, RT. 01/07;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
45;Sukmajaya;5;MT. Al Barkah Creativitas;MT. 622633050045;;Gg. Masjid  Al Ishlah, RT. 02/06;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
46;Sukmajaya;5;MT. Qurrota'ayun;MT. 622633050046;;Jl. Masjid Al Ishlah, RT. 01/06;;;;
;;;;;;No. 31A, Kel. Cisalak, Sukmajaya;;;;
;;;;;;;;;;
47;Sukmajaya;5;MT. Nurul Ikhwan;MT. 622633050047;;Gg. Masjid Al Ishlah, RT. 006/006;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
48;Sukmajaya;5;MT. Al Qur'aniah;MT. 622633050048;;Jl. Raya Bogor. KM. 31, Masjid;;;;
;;;;;;Al Ishlah, RT.005/006;;;;
;;;;;;Kel. Cisalak, Kec. Sukmajaya;;;;
;;;;;;;;;;
49;Sukmajaya;5;MT. Nurussalam;MT. 622633050049;;RT. 03 & 04/29. Kel. Abadijaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
52;Sukmajaya;5;MT. Sholawat Sultanul;MT. 622633050052;;Jl. Citrayuda II, No. 155;;;;
;;;Qolbi;;;Kel. Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
53;Sukmajaya;5;MT. Uswatun Hasanah;MT. 622633050053;;RT. 002/029, Abadijaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
54;Sukmajaya;5;MT. Tiijaanur Rosyad ;MT. 622633050054;;Jl. Rebab V/369, RT. 01/09;;;;
;;;Al Mubaarok;;;Kel. Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
55;Sukmajaya;5;MT. Al Abror;MT. 622633050055;;Jl. Sawo, No. 05, RT. 005/022;;;;
;;;;;;Kp. Sugutamu, Kel. Mekarjaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
56;Sukmajaya;5;MT. Ziyadatul Khoir;MT. 622633050056;;Jl. Kemang I, Kp. Cikumpa, RT. 04;;;;
;;;;;;RW. 10, Kel. Sukmajaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
57;Sukmajaya;5;MT. Al Kamal;MT. 622633050057;;Jl. H. Japat Ireng V. RT. 011/01;;;;
;;;;;;Kel. Abadijaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
58;Sukmajaya;5;PC. Wanita Al Irsyad;MT. 622633050058;;Jl. Lesung Raya, No. 210, RT. 04;;;;
;;;;;;RW. 12, Kel. Abadijaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
59;Sukmajaya;5;MT. Al Zahra;MT. 622633050059;;Lingkungan Cipayung, RT. 001/021;;;;
;;;;;;Kel. Abadijaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
60;Sukmajaya;5;MT. Darul Nashihah Ridhol;MT. 622633050060;;;;;;
;;;Walida'in;;;;;;;
;;;;;;;;;;
61;Sukmajaya;5;MT. Al Kautsar;MT. 622633050061;;Jl. Srimpi II, No. 279, RT. 02/10;;;;
;;;;;;Kel. Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
62;Sukmajaya;5;MT. Hikmatul Kautsar;MT. 622633050062;;Jl. Mataram I, No. 156, RT. 03/16;;;;
;;;;;;Kel, Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
63;Sukmajaya;5;MT. Hubbul Musthofa;MT. 622633050063;;Jl. Tifa VI, No. 63, RT. 004/008;;;;
;;;;;;Kel.Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
64;Sukmajaya;5;MT. Kun Muta'alliman;MT. 622633050064;;Jl. Kolintang Timur, RT. 04/021;;;;
;;;;;;No. 40B, Kampung Sugutamu;;;;
;;;;;;Kel. Mekarjaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
65;Sukmajaya;5;MT. Harokah Majelis;MT. 622633050065;;Gedung Graha 45, Jl. Duta Pelni;;;;
;;;Ta'lim (HMT);;;No. 14, Kel. Cisalak;;;;
;;;;;;Kec. Sukmajaya, Kota Depok;;;;
;;;;;;;;;;
66;Sukmajaya;5;MT. Al Barokah;MT. 622633050066;;Jl. Kp. Sireb, RT. 07/03;;;;
;;;;;;Kel. Tirtajaya;;;;
;;;;;;;;;;
67;Sukmajaya;5;MT. Lekar Alif Ba Ta;MT. 622633050067;;Remaja RT. 04, RW. 29;;;;
;;;;;;Kel. Abadijaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
68;Sukmajaya;5;MT. Anniatusholihah;MT. 622633050068;;Lk. Cipayung RT. 04/29;;;;
;;;;;;Abadijaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
69;Sukmajaya;5;MT. Nur Hasanah;MT. 622633050069;;Jl. Al Hidayah, RT. 01, RW. 08;;;;
;;;;;;Kel. Sukmajaya, Kec. Sukmajaya;;;;
;;;;;;;;;;
70;Sukmajaya;5;MT. Nurul Badriyah;MT. 622633050070;;Jl. Jasa Warga, Gg. Damai Raya;;;;
;;;;;;RT. 06/21, Kel. Baktijaya;;;;
;;;;;;Kec. Sukmajaya;;;;
;;;;;;;;;;
