NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Tapos;10;Al Abror;43123276100001;;Jl. BDB, Cilangkap;24/01/2018, B.909/Kk. 10.22/;;;17
;;;;;;;5/BA.01.1/01/2018;;;
;;;;;;;;;;
2;Tapos;10;Miftahul Hasanah;43123276100002;;Jl. Cilangkap, RT. 001/014;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
3;Tapos;10;Sunanul Huda;43123276100003;2010;Jl. Masjid Al Amsir RT. 02/07;Kd. 10.22/V/PP.009/2782/2014;;;
;;;;;;Kel. Leuwinanggung;;;;
;;;;;;;;;;
4;Tapos;10;Mar'atun Sholihah;43123276100004;;Jl. Anantakupa Raya, Masjid;;;;
;;;;;;As Salam, Komp. Deppan ;;;;
;;;;;;HBTB, RT. 03/16, Kel. Sukatani;;;;
;;;;;;Kec. Tapos, Kota Depok;;;;
;;;;;;;;;;
5;Tapos;10;Baitul Muhabbah;MT. 622633100005;;;;;;
;;;;;;;;;;
6;Tapos;10;Miftahul Khoer;MT. 622633100006;;Jl. Al Ma'mur, RT. 01, RW. 02;;;;
;;;;;;Kel. Leuwinanggung, Tapos;;;;
;;;;;;;;;;
7;Tapos;10;Shohibul Baiti;MT. 622633100007;;Jl. Tunas Karsa, No. 44, RT. 03/08;;;;
;;;;;;Kel. Sukamaju Baru, Kec. Tapos;;;;
;;;;;;;;;;
8;Tapos;10;MT. Kp. Cilangkap;MT. 622633100008;;Jl. Kp. Cilangkap, RT. 01/16;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
9;Tapos;10;Nurul Iman;MT. 622633100009;;Kp. Cimpaun, RT. 02/15;;;;
;;;;;;Kel. Cimpaun, Kec. Tapos;;;;
;;;;;;;;;;
10;Tapos;10;MT. Unwanul Huda;MT. 622633100010;;Jl. Tunas Karsa, RT. 03/06;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
11;Tapos;10;MT. Al Hidayah;MT. 622633100011;;RT. 003, RW. 003, Kec. Tapos;;;;
;;;;;;;;;;
12;Tapos;10;MT. Al Baroqah;MT. 622633100012;;RT. 004, RW. 002, Kec. Tapos;;;;
;;;;;;;;;;
13;Tapos;10;MT. Riyadhul Jannah;MT. 622633100013;;RT. 001, RW. 015, Kec. Tapos;;;;
;;;;;;;;;;
14;Tapos;10;MT. Al Mustofa;MT. 622633100014;;Kp. Sindangkarsa, RT. 01/08;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
15;Tapos;10;MT. Al Athos;MT. 622633100015;;Kelurahan Sukamaju Baru;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
16;Tapos;10;MT. Dzikir RW. 01;MT. 622633100016;;Kp. Sindangkarsa, RT. 04/01;;;;
;;;;;;Sukamaju Baru, Kec. Tapos;;;;
;;;;;;;;;;
17;Tapos;10;MT. El Henan dan Nurul;MT. 622633100017;;Kp. Sindangkarsa, RT. 01/10;;;;
;;;Musyafa;;;Sukamaju Baru, Kec. Tapos;;;;
;;;;;;;;;;
18;Tapos;10;MT. Nurul Muhajirin;MT. 622633100018;;Jl. Mayor Idrus, RT. 02/07;;;;
;;;;;;Kel. Tapos, Kec. Tapos;;;;
;;;;;;;;;;
19;Tapos;10;MT. Remaja RT. 01;MT. 622633100019;;Jl. Swadaya I, Kp. Sindangkarsa;;;;
;;;;;;RT. 01/06, Kel. Jatijajar, Tapos;;;;
;;;;;;;;;;
20;Tapos;10;MT. Risma Al Ghasanah;MT. 622633100020;;Komplek TNI AD, Jl. Cempedak;;;;
;;;;;;Raya, No. 08, RT. 03/12;;;;
;;;;;;;;;;
21;Tapos;10;MT. Al Barokah;MT. 622633100021;;Jl. Setu Jatijajar, RT. 04/02;;;;
;;;;;;Kelurahan Jatijajar;;;;
;;;;;;;;;;
22;Tapos;10;MT. At Tawwabiin;MT. 622633100022;;Jl. Masjid At Tawwabiin, RT. 03;;;;
;;;;;;RW. 02, Kel. Cilangkap;;;;
;;;;;;;;;;
23;Tapos;10;MT. Baitul Mukminin;MT. 622633100023;;Jl. Kapitan 3, RT. 01/04;;;;
;;;;;;Kel. Sukatani, Kec. Tapos;;;;
;;;;;;;;;;
24;Tapos;10;Ikatan Pemuda Islam;MT. 622633100024;;Jl. Raya Tapos, No. 27, RT. 02/07;;;;
;;;Rijalul Muhajirin;;;Kel. Cimpaeun;;;;
;;;;;;;;;;
25;Tapos;10;MT. Ar Ridho;MT. 622633100025;;Jl. Raya Tapos, Gg. Kiray, RT. 01;;;;
;;;;;;RW. 14, Kel. Cimpaeun;;;;
;;;;;;;;;;
26;Tapos;10;MT. Arifin;MT. 622633100026;;Jl. At Tawwabiin, Gg. H. Marsoli;;;;
;;;;;;RT. 06/02, Kel. Cilangkap;;;;
;;;;;;;;;;
27;Tapos;10;MT. Al Barokah;MT. 622633100027;;Jl. H. Kahfi, RT. 03/07, Kel.;;;;
;;;;;;Cimpaeun, Kec. Tapos;;;;
;;;;;;;;;;
28;Tapos;10;MT. Al Maghfiroh;MT. 622633100028;;Kel. Cilangkap, RT. 02/09;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
29;Tapos;10;MT. Al Barokah;MT. 622633100029;;Cilangkap, RT. 04/14;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
30;Tapos;10;MT. Al Ikhlas;MT. 622633100030;;Cilangkap, RT. 04/14;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
31;Tapos;10;MT. Al Hikmah;MT. 622633100031;;Cilangkap, RT. 03/19;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
32;Tapos;10;MT. Miftahul Huda;MT. 622633100032;;Cilangkap, RT. 03/07;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
33;Tapos;10;MT. Daarul Fallah;MT. 622633100033;;Jl. Banjaran Pucung, Cilangkap;;;;
;;;;;;RT. 02/16, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
34;Tapos;10;MT. Kurnia Illahi;MT. 622633100034;;Cilangkap, RT. 02/15;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
35;Tapos;10;MT.  Al Hijrah;MT. 622633100035;;Kp. Sindangkarsa, RT. 03/08;;;;
;;;;;;Kelurahan Sukamaju Baru;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
36;Tapos;10;MT. Tarbiyyatul Hasanah;MT. 622633100036;;Gg. H. Guni, RT. 01/08;;;;
;;;;;;Kel. Cimpaeun, Kec. Tapos;;;;
;;;;;;;;;;
37;Tapos;10;MT. Nurul Hikmah;MT. 622633100037;;RT. 001/ RW. 014, Kel.;;;;
;;;;;;Cilangkap. Kec. Tapos;;;;
;;;;;;;;;;
38;Tapos;10;MT. Al Kamilah;MT. 622633100038;;;;;;
;;;;;;;;;;
39;Tapos;10;MT. Riyadul Jannah;MT. 622633100039;;Kebayunan, Kel. Tapos;;;;
;;;Kebayunan;;;Kec. Tapos;;;;
;;;;;;;;;;
40;Tapos;10;MT. Nurul Islam;MT. 622633100040;;;;;;
;;;;;;;;;;
41;Tapos;10;MT. Al Istiqomah;MT. 622633100041;;Jl. Kp. Keramat, RT. 02/011;;;;
;;;;;;Kel. Cimpaeun, Kec. Tapos;;;;
;;;;;;;;;;
42;Tapos;10;MT. Asy Syifa;MT. 622633100042;;Jl. Asysyifa, RT. 01/03;;;;
;;;;;;Kel. Jatijajar, Kec. Tapos;;;;
;;;;;;;;;;
43;Tapos;10;MT. Daarul Fikri;MT. 622633100043;;Kp. Banjaran Pucung, RT. 01/10;;;;
;;;;;;Kelurahan Cilangkap, Tapos;;;;
;;;;;;;;;;
44;Tapos;10;MT. Darul Kamal;MT. 622633100044;;Jl. Pule Kampung Kebayunan;;;;
;;;;;;RT. 01/16, Kel. Tapos, Tapos;;;;
;;;;;;;;;;
45;Tapos;10;MT. Al Busyro;MT. 622633100045;;RT. 01/10, Kelurahan Cimpaeun;;;;
;;;;;;Kecamatan Tapos;;;;
;;;;;;;;;;
46;Tapos;10;MT. Khoirunnisa Fatayat;MT. 622633100046;;Gg. H. Sora, RT. 01/10;;;;
;;;NU Tapos;;;Kel. Cimpaeun, Kec. Tapos;;;;
;;;;;;;;;;
47;Tapos;10;MT. Al Muhiith;MT. 622633100047;;Jl. Jatijajar, RT. 06/02,;;;;
;;;;;;Kp. Jatijajar, Kel. Jatijajar;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
48;Tapos;10;MT. Al Hamidiy;MT. 622633100048;;Jl. Cilangkap, RT. 05/16;;;;
;;;;;;Kp. Cilangkap, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
49;Tapos;10;MT. TPQ Nurul Hikmah;MT. 622633100049;;Jl. Jatijajar, RT. 04/04, ;;;;
;;;;;;Kp. Jatijajar, Kel. Jatijajar;;;;
;;;;;;Tapos;;;;
;;;;;;;;;;
50;Tapos;10;MT. Roudhotul Qur'an;MT. 622633100050;;Jl. Raya Pekapuran, RT.05/05;;;;
;;;Al Layyinah;;;No. 17, Kel. Sukamaju Baru;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
51;Tapos;10;MT. Roudhotunnisa;MT. 622633100051;;Kp. Babakan, RT. 02/04;;;;
;;;;;;Kel, Sukatani, Kec. Tapos;;;;
;;;;;;;;;;
52;Tapos;10;MT. Cahaya Indah;MT. 622633100052;;Jl. Lurah Ripan Cilangkap;;;;
;;;;;;RT. 02/11, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
53;Tapos;10;Jam'iyyatul Muta'allimaat;MT. 622633100053;;Jl. Lurah Ripan Cilangkap;;;;
;;;;;;RT. 02/11, Kel. Cilangkap;;;;
;;;;;;Kec. Tapos;;;;
;;;;;;;;;;
54;Tapos;10;Baabul Ismi Assunni;MT. 622633100054;;Jl. Lurah Ripan, RT. 02/11, No. 40;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
55;Tapos;10;Miftahul Ulum;MT. 622633100055;;Gg, Kampus IV, RT. 12/22;;;;
;;;;;;Kel. Sukatani, Kec. Tapos;;;;
;;;;;;;;;;
56;Tapos;10;MT. Amanah;MT. 622633100056;;Perumahan Jatijajar Blok D,;;;;
;;;;;;No. 6, RT. 05/12, Kel. Jatijajar;;;;
;;;;;;;;;;
57;Tapos;10;MT. Assalam;MT. 622633100057;;Jatijajar I, RT. 004/003;;;;
;;;;;;Kel. Jatijajar, Kec. Tapos;;;;
;;;;;;;;;;
58;Tapos;10;MT. Al Mubarak;MT. 622633100058;;Jatijajar, RT. 07/07;;;;
;;;;;;Kel. Jatijajar, Kec. Tapos;;;;
;;;;;;;;;;
59;Tapos;10;MT. Jam'iyyatul Ummahat;MT. 622633100059;;Kp. Banjaran Pucung, RT. 01/07;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
60;Tapos;10;Rumah Harapan Tapos;MT. 622633100060;;Kp. Banjaran Pucung, RT. 01/07;;;;
;;;;;;Kel. Cilangkap, Kec. Tapos;;;;
;;;;;;;;;;
61;Tapos;10;MT. Qonita Qiroati;MT. 622633100061;;Jl. Kkapitan 3, No. 54, RT. 01/04;;;;
;;;;;;Kel. Sukatani, Kec. Tapos;;;;
;;;;;;;;;;
62;Tapos;10;MT. Nurusyifa;MT. 622633100062;;Jl. Persada Jatijajar 2, No. 31;;;;
;;;;;;RT. 02/08. Kel. Jatijajar, Tapos;;;;
;;;;;;;;;;
63;tapos;10;MT. Dzikir Al Faaqih;MT. 622633100063;;Kp. Banjaran Pucung, RT. 01/05;;;;
;;;;;;Kel. Cilangkap, Tapos;;;;
;;;;;;;;;;
64;Tapos;10;MT. Dhiyaul Ilmi;MT. 622633100064;;Jl. Kkapitan Raya, RT. 09/01;;;;
;;;;;;Kel. Sukatani, Kec. Tapos;;;;
;;;;;;;;;;
65;Tapos;10;MT. Nurul Hidayah;MT. 622633100065;;Jl. Pekapuran, Gg. Bengkel Yamin;;;;
;;;;;;RT. 04/22, Kel. Sukatani;;;;
;;;;;;Kec. Tapos, Depok;;;;
;;;;;;;;;;
66;Tapos;10;MT. Roudlotul Fuad;MT. 622633100066;;Gg. H. Sara, RT. 03/05;;;;
;;;;;;Kel. Cimpaeun, Tapos;;;;
;;;;;;;;;;
67;Tapos;10;MT. Darul Falah;MT. 622633100067;;Jl. Cibinong Tapos, RT. 03/04;;;;
;;;;;;Kel. Cimpaeun, Kec. Tapos;;;;
;;;;;;Kota Depok, 16459;;;;
;;;;;;;;;;
68;Tapos;10;MT. Nihayatul Islam;MT. 622633100068;;Jl. Jambu VI, Blok s/7, No. 13;;;;
;;;;;;RT. 09/20, Kel. Sukatani, Tapos;;;;
;;;;;;;;;;
